Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Finland,31371.7332728285,32107.7324040356,31634.7327472026,31054.7548712066,30982.753338891,31204.134620846,31968.276101682,32839.3796072734,33706.0049182573,34554.6844549112,35380.4045362417,36185.562112606,36971.5043089266,37741.2982763263,38499.3746865657,39246.0442439847,39986.8226578108,40727.1042819501,41471.0780408782,42220.5775505937,42978.5238605394,43746.1340492896,44523.5010682393,45310.4286982838,46106.8918802802,46911.0520120876,47720.0229633781,48532.7544964642,49348.2657633706,50165.3470518128,50983.2795501032,51801.2522068589,52618.0717001261,53435.2818338004,54253.4622844814,55072.0956257666,55891.3559237396,56711.3269693188,57530.2820079171,58350.05650834,59173.139569244,60000.4482879643,60832.1268870766,61667.0357232696,62500.3540750586,63334.2814197549,64165.9076383682,64997.0533793409,65825.9414961929,66655.7941687692,67484.3139524715
France,29645.8023956247,30089.3887747076,29949.064235929,29888.7056185374,30016.5018174152,30335.2323880746,31012.8702493033,31739.0893008198,32443.0070518137,33131.0274671445,33818.5864152665,34517.5046522174,35234.8298268642,35972.5559785492,36730.3058463912,37505.6378983796,38293.897516886,39080.627555396,39860.1586595186,40628.5489683037,41383.8564852215,42124.9791336558,42851.2297374117,43563.5036073522,44261.3630129302,44945.4424985355,45616.59292062,46275.602247171,46924.961163916,47567.6149319593,48205.3712310087,48839.3334237444,49471.3587632276,50103.8194552563,50738.7014176324,51377.6272868607,52020.5824677302,52671.1462392499,53330.6281594702,54000.886804979,54681.7441781865,55373.4298092567,56076.9097588981,56793.0366545793,57520.5364237012,58258.0461582592,59004.0255067615,59756.8841538535,60514.0912598729,61273.0134401531,62030.9833617197
Germany,33432.2482074236,34660.303640937,35039.328099724,35296.1761891387,36051.9427327114,36865.7161877208,37315.4293821416,37723.8493857661,38161.9104152034,38628.555711363,39116.0805064875,39616.4812928878,40125.2969164486,40641.0361442178,41162.5956530086,41687.58941709,42219.4375812446,42760.3418680317,43312.7370461647,43876.3629405545,44454.3051183958,45050.1050865685,45664.9750878967,46302.2502937705,46962.7377783349,47648.8343041404,48362.8651759633,49103.1759139762,49873.0293802156,50670.6726090818,51489.9363028412,52330.218596204,53188.711709703,54065.8226763761,54961.699218277,55875.9994470323,56806.2901299717,57756.7349806332,58726.4427624047,59717.0849330062,60726.5804826364,61753.6806551324,62795.5996477665,63852.3714740097,64921.4067508462,66004.1950828992,67094.6082841013,68198.5975471888,69307.708641826,70416.4262888602,71521.36379749
Greece,24004.1696176386,22235.7491713158,20626.1760941584,19780.8669343567,19670.8463568746,19999.4262080609,21024.0389343969,22098.2305959256,23079.6322622054,23980.4410144025,24829.3246330934,25647.9668045026,26451.9211136084,27245.4401590009,28032.0512316207,28812.7851489101,29588.4806210596,30372.5722342161,31157.1890548733,31938.3563081654,32718.0978200865,33495.0353486592,34263.7258290221,35018.1175707637,35740.3415745832,36425.3054548062,37069.2212154779,37678.4919491215,38251.8635749408,38793.9220564599,39304.6115152333,39791.0300795848,40256.8703556645,40706.3666737431,41144.6206734367,41576.3159005561,42000.9981605362,42429.9493502798,42864.0047447178,43307.0251458681,43760.5441387684,44226.2539733802,44705.5587061212,45200.1481846399,45706.2670901622,46226.7504170542,46756.5018120942,47298.4288376353,47851.8322679972,48417.206797635,48992.5543514729
Hungary,16920.9425568044,17208.3105305889,16932.573178828,17157.7501455091,17518.2512933938,17821.5193084797,18150.3935938314,18488.6165248491,18834.4684839148,19186.6370983295,19547.2091938721,19921.6419650418,20312.7195459864,20722.9622875794,21147.9452573671,21589.534082409,22049.9400587472,22532.2382992555,23037.754764643,23559.8980864921,24098.173374303,24653.1844884409,25224.9581514718,25811.4427664683,26413.8432513686,27033.7286264388,27669.9420490686,28323.4010536147,28991.0891646694,29672.5160357652,30359.1867961906,31054.7033428378,31761.8161932052,32478.9816929183,33204.310316351,33935.8608334811,34672.9419763321,35414.6809339578,36161.4202947109,36912.4811667351,37666.9435471463,38423.7016522692,39188.0233889688,39962.5572229118,40747.7805640186,41546.027652253,42358.5114289237,43189.8371834039,44045.266229542,44927.3554207133,45837.4912140713
Iceland,32758.872931427,33209.9130499952,33301.3352327378,34005.2249232216,34534.7327474403,35246.2598346779,35242.1351248595,35223.125503073,35281.2723606401,35432.974018797,35672.4759697039,35987.9182419552,36368.3138647688,36805.6429298747,37293.9670680068,37828.4958343031,38406.3244643495,39025.3243929431,39683.6896882287,40378.9688080555,41108.5323357025,41871.2322324184,42664.7162923928,43483.9015385948,44315.3748350257,45148.3925462092,45980.6635774622,46810.8417993884,47637.8456948901,48460.3281409552,49277.8547399336,50089.6920114409,50896.5048662275,51700.2874591903,52502.3420773801,53304.4874526556,54107.9545396668,54914.2912985612,55724.5227077026,56538.587396232,57357.108041832,58181.1042977485,59012.5839122284,59853.2161484861,60704.1463441486,61566.4984367932,62440.4880331115,63326.7091876787,64225.4301575359,65136.8690503889,66061.9584218595
India,3004.43375598602,3196.91909015136,3310.91315855047,3416.44601463426,3541.23042073267,3705.23310658495,3885.70984845454,4072.01126799696,4265.80397368784,4469.07891448458,4683.33763892051,4909.63642878625,5148.72174055011,5401.12546537298,5667.27786762544,5947.481916928,6241.90668143241,6550.59827387868,6873.49340813023,7210.3833156911,7561.00836869253,7925.11037697669,8302.39848197317,8692.50617341579,9095.0054000084,9509.47610915162,9935.58120648334,10373.1733355298,10822.2369408408,11282.8278103097,11755.0698440596,12239.199012387,12735.5016286396,13244.2427001633,13765.652299193,14299.9597463968,14847.4423006427,15408.3766770561,15982.937410639,16571.1529087582,17172.942585796,17788.205106939,18416.8479071884,19058.6383524561,19713.0861697177,20379.4688760763,21056.9809604996,21744.8585525212,22442.2962891413,23148.4608861166,23862.4848202337
Indonesia,3873.14658157501,4071.47727802988,4272.82805211595,4465.55707644025,4665.02670641483,4900.93078611219,5132.90180830033,5372.77137997847,5624.29131270452,5887.99493503725,6163.45686258364,6450.10273609249,6747.3927846952,7054.73901143213,7371.50407598676,7697.06749976974,8030.87575057713,8372.46660094564,8721.44045440001,9077.44521359238,9440.20119323548,9809.47267499174,10185.1825654257,10567.4511816219,10956.50125542,11352.7003683242,11756.6171990538,12169.1077051795,12591.3202496632,13024.61032449,13470.5152852346,13930.7096362362,14406.812511963,14900.3297358504,15412.6504949905,15944.9031835417,16497.858501122,17071.5843577016,17665.3683530673,18277.822308279,18906.9559686544,19550.3199122747,20205.0217642356,20867.584355627,21534.1694558464,22200.5021628746,22862.0460142558,23514.3304340727,24153.280866607,24775.8768643413,25379.8444441373
Ireland,36201.5536327267,36808.4104481047,36662.692661095,36317.6789626748,36748.9976070309,37272.4619471937,38200.8431238868,39120.0664293737,39937.4799959886,40690.6416208731,41427.6193583981,42175.8899088782,42985.4739021217,43853.6122148256,44771.3265958957,45722.905960064,46690.1459021906,47641.6663095379,48564.2150573478,49445.6751183662,50275.9256213111,51046.5127138562,51751.9729029454,52388.1608652742,52953.4935949676,53447.6649871824,53872.278419539,54231.0432483327,54528.7231886789,54772.3564854078,54969.4138792921,55128.8319340899,55260.6795830983,55374.748126888,55482.1170339929,55593.0831808489,55718.4380680099,55868.1490071547,56051.6286139047,56273.1411201939,56536.3887679123,56844.0790895764,57197.1826664817,57594.5745257931,58032.395701865,58504.5162855752,59004.4668114043,59526.2652082089,60064.1452643792,60613.8054558029,61171.8119479832
Israel,28613.8764117105,29438.9636931852,30001.6017187226,30657.2418450844,31280.7867970726,31981.1252924529,32531.19241765,33048.3829204682,33561.3622421021,34090.7375309059,34649.0890614895,35237.3226829045,35849.5404405694,36484.09337943,37137.9528991825,37808.8759813671,38497.3426340721,39204.5774598203,39928.5070652569,40665.3280483266,41410.8160434374,42161.1135476898,42912.749167206,43662.491571338,44407.5515192598,45145.8506831819,45875.9686659941,46595.349669449,47304.5702539069,48007.2380194779,48707.6961630435,49410.4309899299,50120.5337563755,50843.6041133298,51585.2862428062,52350.339708159,53142.1637657014,53962.4738588759,54811.7150210275,55689.2683930909,56593.8959834479,57524.7261183328,58480.9925289366,59461.0303979618,60462.5559461261,61483.475800649,62522.9367568004,63581.21914865,64658.2701684259,65753.8250455054,66867.6349888442
